source_id,base_weight,evidence_class,independence_group,counts_toward_confidence,is_mirror,assessment_method,last_verified,notes
95,80,strong,ugc-gaming-net,true,false,community-cheat-ban,2026-08-19,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive)."
96,40,moderate,randomperson407,true,false,bot-list,2026-08-26,
97,78,strong,lbgaming,true,false,community-ban-via-aggregator,2026-08-26,TF2 community not imported directly. Weighted below the communities whose ban list was read at the source.
98,78,strong,liquid-tf,true,false,community-ban-via-aggregator,2026-08-26,TF2 community not imported directly. Weighted below the communities whose ban list was read at the source.
99,78,strong,pubs-tf,true,false,community-ban-via-aggregator,2026-08-26,TF2 community not imported directly. Weighted below the communities whose ban list was read at the source.
100,78,strong,retroservers,true,false,community-ban-via-aggregator,2026-08-26,TF2 community not imported directly. Weighted below the communities whose ban list was read at the source.
101,78,strong,sg-gaming,true,false,community-ban-via-aggregator,2026-08-26,TF2 community not imported directly. Weighted below the communities whose ban list was read at the source.
102,78,strong,sappho-io,true,false,community-ban-via-aggregator,2026-08-26,TF2 community not imported directly. Weighted below the communities whose ban list was read at the source.
103,78,strong,dpg-tf,true,false,community-ban-via-aggregator,2026-08-26,TF2 community not imported directly. Weighted below the communities whose ban list was read at the source.
104,0,none,tf2-sentinel-project,false,false,project-annotation,2026-08-27,"Identity annotations only. Never a cheating determination, so it must not contribute to a score."
