source_id,slug,name,source_type,upstream_repo,update_url,authors,scope_region,description,source_file
42,serv-dos-brother-sourcebans,Serv dos Brother — SourceBans,sourcebans,,https://bans.svdosbrothers.com/index.php?p=banlist,"[""Serv dos Brother""]",south-america,Brazilian TF2 community SourceBans. Only explicit cheat or anti-cheat reasons contribute to cheat confidence.,
43,vovo-fortress,Vovô Fortress — bans,community_bans,,https://vovo.tf/,"[""Vovô Fortress""]",south-america,Brazilian TF2 community with MvM and 4Fun servers and public ban infrastructure.,
44,eotl-sourcebans,End of the Line — SourceBans,sourcebans,,https://tf2.endofthelinegaming.com/sourcebans/,"[""End of the Line Gaming""]",global,Public TF2 SourceBans installation. Only explicit cheat or anti-cheat reasons contribute to cheat confidence.,
45,etf2l-cheating-bans,ETF2L — cheating bans,league_bans,,https://etf2l.org/etf2l/bans/,"[""ETF2L""]",europe,ETF2L league bans filtered to cheating and anti-cheat findings. Generic VAC-only entries remain weaker evidence.,
46,rgl-cheating-bans-live,RGL — cheating bans,league_bans,,https://rgl.gg/,"[""RGL.gg""]",north-america,RGL discipline records filtered to cheating/game-integrity findings.,
47,ozfortress-unfair-play,ozfortress — unfair-play bans,league_bans,,https://docs.ozfortress.com/info/anticheat_bans/,"[""ozfortress""]",oceania,ozfortress anti-cheat and unfair-play ban records.,
48,brasil-fortress-discipline,Brasil Fortress — discipline,league_bans,,https://bf.sonikro.com/,"[""Brasil Fortress""]",south-america,South American competitive TF2 league discipline. Only explicit cheating/game-integrity findings contribute to cheat confidence.,
49,metalstats-mvm-reputation,MetalStats.tf — MvM reputation,mvm_reputation,,https://metalstats.tf/,"[""MetalStats.tf""]",global,"MvM reputation signal including cheater, cheater-supporter and credit-exploiter reports. Community reports are treated as low-confidence signals.",
50,tacobot-mvm-reports,Tacobot — MvM reports,mvm_reputation,,https://tacobot.tf/,"[""Tacobot.tf""]",global,MvM public report history. Treat as very weak community-report evidence and never as an independent conviction without corroboration.,
51,wgetjane-bot-list,wgetJane — bot list,public_playerlist,https://gist.github.com/wgetJane/0bc01bd46d7695362253c5a2fa49f2e9,https://gist.github.com/wgetJane/0bc01bd46d7695362253c5a2fa49f2e9,"[""wgetJane""]",global,Historical public list of TF2 cheating bot SteamID64 accounts.,
52,milenko-cathook-list,Milenko — Cathook broadcast list,public_playerlist,,https://github.com/PazerOP/tf2_bot_detector/wiki/Customization,"[""Milenko""]",global,Historical list of players reported as broadcasting Cathook usage to servers.,
53,valve-tf2-game-ban,Valve — TF2 game-ban signal,platform_ban,,https://wiki.teamfortress.com/wiki/Game_ban,"[""Valve""]",global,"TF2 game bans can cover cheating, automation, disruptive exploits and other integrity offenses, so a generic game-ban signal is not treated as proof of cheating.",
54,valve-vac-ban,Valve — VAC signal,platform_ban,,https://partner.steamgames.com/doc/webapi/isteamuser,"[""Valve""]",global,VAC bans are strong evidence of cheating somewhere on VAC-secured games but are not necessarily TF2-specific.,
55,steam-public-known-cheaters,PLTF2C — community list,community_list,,https://steamcommunity.com/groups/PLTF2C/discussions/0/535151589910142184/,"[""Steam Community contributors""]",global,Historical public community-maintained list of alleged TF2 cheaters.,
56,tf2bd-trusted-list,TF2BD — Trusted list,tf2bd_playerlist,https://github.com/PazerOP/tf2_bot_detector,https://github.com/PazerOP/tf2_bot_detector/wiki/Customization,"[""TF2BD community""]",global,Historical community list contributed by users with the Trusted role in the TF2 Bot Detector community.,
57,mtrn-sourcebans,MTRN.hu — SourceBans,sourcebans,,https://mtrn.hu/sourcebans/index.php?p=banlist,"[""MTRN.hu""]",global,Public SourceBans database with explicit StAC and Little Anti-Cheat detections. Reversed or false-positive bans must not contribute to confidence.,
58,mvmlobby-reputation,MvM Lobby — reputation,mvm_reputation,,https://mvmlobby.tf/,"[""MvM Lobby""]",global,"Public MvM player profiles and community comments. Only explicit cheating, cheater-supporter, or exploit reports are relevant; conflicting or unsupported comments remain weak signals.",
59,reptf-aggregator,Rep.TF — reputation index,aggregator,,https://rep.tf/,"[""Rep.TF""]",global,Public reputation search aggregator combining status from multiple TF2 communities. It is provenance/navigation only and must not count as independent corroboration.,
60,horizon-australia-tf2-cheaters,Horizon — Australia TF2 Cheaters,tf2bd_playerlist,https://github.com/HorizonAUSanticheat/Australia-TF2-Cheaters,https://raw.githubusercontent.com/HorizonAUSanticheat/Australia-TF2-Cheaters/refs/heads/main/playerlist.official.json,"[""HorizonAUSanticheat""]",oceania,Public TF2 Bot Detector-compatible Australian list distinguishing cheater and suspicious classifications.,
61,nocrex-tom-vorobey-hacker-police,Tom — Vorobey review database,reviewed_report_database,https://github.com/Nocrex/Tom,https://raw.githubusercontent.com/Nocrex/Tom/main/reported_ids.txt,"[""Nocrex"", ""Vorobey Hacker Police contributors""]",global,Tom is a Discord bot used in Vorobey's server to collect member reports and track reviewer-approved cheating reports. This source imports the public reported_ids.txt export.,
62,lmaobox-priority-bots-tf,bots.tf — bot list,compiled_playerlist,https://bots.tf/,https://bots.tf/,"[""Pianta's BotListConverter""]",global,Imported from the bots.tf - Bot section of the supplied LMAOBox player priority Lua file.,
63,lmaobox-priority-d3fc0n6-cheater,CheaterList — friend association (compiled copy),compiled_playerlist,https://github.com/d3fc0n6/CheaterList,https://github.com/d3fc0n6/CheaterList,"[""Pianta's BotListConverter""]",global,Imported from the d3fc0n6 - Cheater section of the supplied LMAOBox player priority Lua file.,
64,lmaobox-priority-d3fc0n6-tacobot,Tacobot — compiled reports,compiled_playerlist,https://tacobot.tf/,https://tacobot.tf/,"[""Pianta's BotListConverter""]",global,Imported from the d3fc0n6 - Tacobot section of the supplied LMAOBox player priority Lua file.,
65,lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),compiled_playerlist,https://github.com/PazerOP/tf2_bot_detector,https://github.com/PazerOP/tf2_bot_detector,"[""Pianta's BotListConverter""]",global,Imported from the d3fc0n6 - Pazer section of the supplied LMAOBox player priority Lua file.,
66,lmaobox-priority-mcdb-cheaters,MCDB — cheaters,compiled_playerlist,https://mcdb.neocities.org/,https://mcdb.neocities.org/,"[""Pianta's BotListConverter""]",global,Imported from the MCDB - Cheaters section of the supplied LMAOBox player priority Lua file.,
67,lmaobox-priority-mcdb-suspicious,MCDB — suspicious,compiled_playerlist,https://mcdb.neocities.org/,https://mcdb.neocities.org/,"[""Pianta's BotListConverter""]",global,Imported from the MCDB - Suspicious section of the supplied LMAOBox player priority Lua file.,
68,lmaobox-priority-mcdb-watched,MCDB — watched,compiled_playerlist,https://mcdb.neocities.org/,https://mcdb.neocities.org/,"[""Pianta's BotListConverter""]",global,Imported from the MCDB - Watched section of the supplied LMAOBox player priority Lua file.,
69,lmaobox-priority-mcdb-legit,MCDB — legit,compiled_playerlist,https://mcdb.neocities.org/,https://mcdb.neocities.org/,"[""Pianta's BotListConverter""]",global,Imported from the MCDB - Legit section of the supplied LMAOBox player priority Lua file.,
70,steamhistory-profile-history,SteamHistory — profile history,profile_history_enrichment,,https://steamhistory.net/,"[""SteamHistory""]",global,"Public Steam profile-history archive used for historical aliases, avatar changes, vanity URL changes, privacy changes and ban-status snapshots. Enrichment only; it does not increase cheating confidence.",
71,minein4-shitlist,minein4 — Shitlist,tf2bd_playerlist,https://github.com/minein4/Shitlist,https://raw.githubusercontent.com/minein4/Shitlist/main/playerlist.shitlist.json,"[""minein4""]",europe,Public TF2BD bot/cheater list. Only cheating-relevant attributes are eligible for confidence scoring; unrelated behavior tags are ignored.,
72,garou3299-tf2bd-database,Garou3299 — TF2BD database,tf2bd_playerlist,https://github.com/Garou3299/TF2BD-Database,https://raw.githubusercontent.com/Garou3299/tf2bd-database/master/playerlist.garou3299.json,"[""Garou3299""]",global,Public personal TF2BD database of cheaters and suspicious players.,
73,star-cheater-database,STAR Cheater Database,mirror_index,https://github.com/starshipsystems/tf2-cheater-list,https://github.com/starshipsystems/tf2-cheater-list,"[""starshipsystems""]",global,Database compiled from MCD/MCDB dumps plus manual additions. Registered for provenance; not counted as an independent source family without record-level origin separation.,
74,ill5-megascatterbomb-mirror,ill5 — MegaScatterBomb database mirror,mirror_index,https://github.com/ill5-com/megascatterbomb-tf2-cheater-database,https://github.com/ill5-com/megascatterbomb-tf2-cheater-database,"[""ill5-com""]",global,Public mirror/derivative of the MegaScatterBomb/MCDB data family. Provenance only to avoid duplicate confidence.,
75,nemesis-playerlist,Nemesis — TF2BD player list,aggregator,https://nemesis.surf/,https://nemesis.surf/playerlist.nemesis.json,"[""Nemesis""]",global,Public TF2BD-focused consolidated player list. Registered as an aggregator because entries can include imported upstream findings as well as Nemesis material.,
76,megaanticheat-project,MegaAntiCheat — project reference,project_reference,https://github.com/oenu/MegaAntiCheat,https://github.com/oenu/MegaAntiCheat,"[""oenu"", ""MegaAntiCheat contributors""]",global,Public TF2 anti-cheat project reference. No released public account export is seeded here.,
77,zm-brasil-sourcebans,ZM Brasil — SourceBans,sourcebans,,https://zmbr.mjsv.us/index.php?p=banlist,"[""ZM Brasil""]",south-america,"Public Brazilian SourceBans database. Only active, explicit cheating or anti-cheat detections contribute to confidence.",
78,electric-servers-sourcebans,Electric Servers — SourceBans,sourcebans,https://electricservers.com.ar/bans/,https://electricservers.com.ar/bans/index.php?p=banlist,"[""Electric Servers""]",south-america,Public SourceBans++ instance for the Electric Servers TF2 network in Argentina.,
79,oppressive-territory-sourcebans,Oppressive Territory — SourceBans,sourcebans,,https://ban.optr.me/index.php?p=banlist,[],south-america,Public SourceBans records of the Brazilian Oppressive Territory servers.,
80,tf2bd-asean-list-playerlist-asean,TF2BD-ASEAN-LIST — player list,tf2bd_playerlist,https://github.com/Critical-Cookie/TF2BD-ASEAN-LIST,https://raw.githubusercontent.com/Critical-Cookie/TF2BD-ASEAN-LIST/main/playerlist.asean.json,"[""Critical-Cookie""]",asia,Public TF2 Bot Detector-compatible list focused on Southeast Asian (ASEAN) game regions.,playerlist.asean.json
81,joekiller-list-playerlist-joekiller,joekiller — personal cheater list,tf2bd_playerlist,https://github.com/joekiller/joekiller-list,https://raw.githubusercontent.com/joekiller/joekiller-list/main/playerlist.joekiller.json,"[""joekiller""]",north-america,Personal TF2BD list; author only adds cheaters personally encountered and does not merge submissions from others.,playerlist.joekiller.json
82,blacklist-cheaters-tf2-bot-detector-playerlist-vonny,Vonny — personal cheater list,tf2bd_playerlist,https://github.com/zyzel-del/blacklist_cheaters_tf2_bot_detector,https://raw.githubusercontent.com/zyzel-del/blacklist_cheaters_tf2_bot_detector/master/playerlist.vonny.json,"[""zyzel-del""]",global,Small public personal TF2BD cheater list.,playerlist.vonny.json
83,tf2-botlist-playerlist,RednotePL — TF2 bot list,tf2bd_playerlist,https://github.com/RednotePL/tf2-botlist,https://raw.githubusercontent.com/RednotePL/tf2-botlist/master/playerlist.json,"[""RednotePL""]",europe,Archived public TF2BD bot list.,playerlist.json
84,cleffy-list-playerlist-cleffy,Cleffy — personal cheater list,tf2bd_playerlist,https://github.com/Cl3ffy/cleffy-list,https://raw.githubusercontent.com/Cl3ffy/cleffy-list/main/playerlist.cleffy.json,"[""Cl3ffy""]",europe,Personal TF2BD list distinguishing confident cheaters from suspicious players.,playerlist.cleffy.json
85,tf2bd-list-playerlist-asomn,As0mn — NA casual cheater list,tf2bd_playerlist,https://github.com/As0mn/tf2bd-list,https://raw.githubusercontent.com/As0mn/tf2bd-list/main/playerlist.asomn.json,"[""As0mn""]",north-america,Personal TF2BD list of cheaters encountered in North American casual matchmaking.,playerlist.asomn.json
86,naughtylist-playerlist-naughtylist,H0xton1337 — Naughty list,tf2bd_playerlist,https://github.com/H0xton1337/naughtylist-,https://raw.githubusercontent.com/H0xton1337/naughtylist-/main/playerlist.naughtylist.json,"[""H0xton1337""]",global,Public TF2BD list; author notes legitimate players may still appear under the suspicious attribute.,playerlist.naughtylist.json
87,darkpyro-sourcebans,DarkPyro's Servers — SourceBans,sourcebans,https://bans.darkpyro.gg/,https://bans.darkpyro.gg/index.php?p=banlist,[],global,Public SourceBans installation for DarkPyro's Servers.,
88,flux-tf-sourcebans,Flux.TF — SourceBans,sourcebans,https://bans.flux.tf/,https://bans.flux.tf/index.php?p=banlist,[],global,Public SourceBans installation for the Flux.TF community.,
89,scrap-tf-sourcebans,Scrap.TF — SourceBans,sourcebans,https://bans.scrap.tf/,https://bans.scrap.tf/index.php?p=banlist,[],global,Public SourceBans installation for the Scrap.TF community.,
90,titan-tf-sourcebans,Titan.TF — SourceBans,sourcebans,https://bans.titan.tf/,https://bans.titan.tf/index.php?p=banlist,[],global,Public SourceBans installation for the Titan.TF community.,
91,firepowered-sourcebans,FirePowered — SourceBans,sourcebans,https://firepoweredgaming.com/,https://firepoweredgaming.com/sourcebans/index.php?p=banlist,[],north-america,Public SourceBans installation for the FirePowered community.,
